csv name,Generator,Algorithm,Time,Memory used,Numbers sorted,min val,max val,issorted



A0.csv,basicgenerator,bubblesort,5.562007904052734,896 B,5000,0,10000000,True



A0.csv,basicgenerator,bucketsort2,3.8756330013275146,5704 B,5000,0,10000000,True



A0.csv,basicgenerator,countingsort,3.719703435897827,137 KiB,5000,0,10000000,True



A0.csv,basicgenerator,heapsort,0.07619667053222656,6136 B,5000,0,10000000,True



A0.csv,basicgenerator,insertionsort,5.968639850616455,896 B,5000,0,10000000,True



A0.csv,basicgenerator,mergesort,0.05783987045288086,6136 B,5000,0,10000000,True



A0.csv,basicgenerator,quicksort,0.16554975509643555,13.1 KiB,5000,0,10000000,True



A0.csv,basicgenerator,radixsort,0.10272502899169922,928 B,5000,0,10000000,True



A0.csv,basicgenerator,selectionsort,5.0851263999938965,896 B,5000,0,10000000,True







A1.csv,basicgenerator,heapsort,0.19719433784484863,disabled,10000,0,10000000,True



A1.csv,basicgenerator,bubblesort,21.470351934432983,disabled,10000,0,10000000,True



A1.csv,basicgenerator,bucketsort2,2.890340805053711,disabled,10000,0,10000000,True



A1.csv,basicgenerator,countingsort,4.6783998012542725,disabled,10000,0,10000000,True



A1.csv,basicgenerator,selectionsort,19.12270998954773,disabled,10000,0,10000000,True



A1.csv,basicgenerator,insertionsort,26.317123413085938,disabled,10000,0,10000000,True



A1.csv,basicgenerator,mergesort,0.1296522617340088,disabled,10000,0,10000000,True



A1.csv,basicgenerator,quicksort,0.17684388160705566,disabled,10000,0,10000000,True



A1.csv,basicgenerator,radixsort,0.16018390655517578,disabled,10000,0,10000000,True



A2.csv,basicgenerator,heapsort,0.300457239151001,disabled,20000,0,10000000,True



A2.csv,basicgenerator,bubblesort,82.33239030838013,disabled,20000,0,10000000,True



A2.csv,basicgenerator,bucketsort2,3.291797637939453,disabled,20000,0,10000000,True



A2.csv,basicgenerator,countingsort,3.938723564147949,disabled,20000,0,10000000,True



A2.csv,basicgenerator,selectionsort,70.61546182632446,disabled,20000,0,10000000,True



A2.csv,basicgenerator,insertionsort,77.25410461425781,disabled,20000,0,10000000,True



A2.csv,basicgenerator,mergesort,0.22684717178344727,disabled,20000,0,10000000,True



A2.csv,basicgenerator,quicksort,0.25275564193725586,disabled,20000,0,10000000,True



A2.csv,basicgenerator,radixsort,0.2798295021057129,disabled,20000,0,10000000,True



A3.csv,basicgenerator,heapsort,1.1876296997070312,disabled,40000,0,10000000,True



A3.csv,basicgenerator,bubblesort,317.0535361766815,disabled,40000,0,10000000,True



A3.csv,basicgenerator,bucketsort2,2.9687891006469727,disabled,40000,0,10000000,True



A3.csv,basicgenerator,countingsort,4.003923416137695,disabled,40000,0,10000000,True



A3.csv,basicgenerator,selectionsort,281.479199886322,disabled,40000,0,10000000,True



A3.csv,basicgenerator,insertionsort,302.72938561439514,disabled,40000,0,10000000,True



A3.csv,basicgenerator,mergesort,0.540783166885376,disabled,40000,0,10000000,True



A3.csv,basicgenerator,quicksort,0.5858423709869385,disabled,40000,0,10000000,True



A3.csv,basicgenerator,radixsort,0.7275495529174805,disabled,40000,0,10000000,True







A4.csv,basicgenerator,heapsort,25.766305208206177,disabled,1000000,0,10000000,True



A4.csv,basicgenerator,bucketsort2,5.0759806632995605,disabled,1000000,0,10000000,True



A4.csv,basicgenerator,countingsort,4.622085094451904,disabled,1000000,0,10000000,True



A4.csv,basicgenerator,mergesort,20.856963396072388,disabled,1000000,0,10000000,True



A4.csv,basicgenerator,quicksort,19.109849452972412,disabled,1000000,0,10000000,True



A4.csv,basicgenerator,radixsort,15.929283857345581,disabled,1000000,0,10000000,True



A5.csv,basicgenerator,heapsort,161.6629421710968,disabled,5000000,0,10000000,True



A5.csv,basicgenerator,bucketsort2,12.121386051177979,disabled,5000000,0,10000000,True



A5.csv,basicgenerator,countingsort,7.227615118026733,disabled,5000000,0,10000000,True



A5.csv,basicgenerator,mergesort,126.79353070259094,disabled,5000000,0,10000000,True



A5.csv,basicgenerator,quicksort,103.67997980117798,disabled,5000000,0,10000000,True



A5.csv,basicgenerator,radixsort,80.12075161933899,disabled,5000000,0,10000000,True



A6.csv,basicgenerator,heapsort,171.98193907737732,disabled,15000000,0,10000000,True



A6.csv,basicgenerator,bucketsort2,19.17606282234192,disabled,15000000,0,10000000,True



A6.csv,basicgenerator,countingsort,10.90564751625061,disabled,15000000,0,10000000,True



A6.csv,basicgenerator,mergesort,197.4264624118805,disabled,15000000,0,10000000,True



A6.csv,basicgenerator,quicksort,140.8074972629547,disabled,15000000,0,10000000,True



A6.csv,basicgenerator,radixsort,103.88129830360413,disabled,15000000,0,10000000,True






B1.csv,almostsorted,bubblesort,15.755754232406616,disabled,10000,0,11000,True



B1.csv,almostsorted,bucketsort2,0.015956401824951172,disabled,10000,0,11000,True



B1.csv,almostsorted,countingsort,0.009990930557250977,disabled,10000,0,11000,True



B1.csv,almostsorted,selectionsort,16.40422010421753,disabled,10000,0,11000,True



B1.csv,almostsorted,insertionsort,0.010970354080200195,disabled,10000,0,11000,True



B1.csv,almostsorted,mergesort,0.0732877254486084,disabled,10000,0,11000,True



